Timestamp;Country;Gender;Age;Group;HighSchool;MonthsAbroad;MusicStreamingService;MinutesStreamMusic;VideoStreamingService;MinutesStreamVideo;PayVideo;PayMusic
01/10/2018 22:18;Spain;Male;61;B;Partially State-funded School;0;Spotify;180;Netflix;0;No;No
01/10/2018 22:21;Spain;Male;23;A;Partially State-funded School;2;Tidal;100;Netflix;100;Yes;Yes
01/10/2018 22:26;Spain;Female;47;B;Public School;0;None of them;0;HBO;50;No;No
01/10/2018 22:29;United States of America;Male;74;A;Private;67;None of them;0;None of them;0;No;No
01/10/2018 22:31;Spain;Male;50;A;Public School;0;None of them;0;HBO;50;No;No
01/10/2018 22:35;Spain;Female;23;A;Private;0;Spotify;120;None of them;0;No;No
01/10/2018 22:41;Spain;Male;21;A;Public School;2;Spotify;180;Netflix;20;Yes;Yes
01/10/2018 22:43;Spain;Male;32;A;Partially State-funded School;1;None of them;0;Netflix;90;No;No
01/10/2018 22:47;Spain;Male;19;A;Public School;6;Spotify;60;Amazon Prime;90;Yes;Yes
01/10/2018 23:00;Spain;Female;60;B;Private;9;None of them;0;None of them;0;No;No
01/10/2018 23:05;Spain;Male;21;A;Public School;2;Spotify;60;HBO;20;Yes;Yes
01/10/2018 23:37;Spain;Female;28;A;Partially State-funded School;60;Apple Music;30;YouTube;15;No;Yes
02/10/2018 0:04;Spain;Male;22;A;Partially State-funded School;3;None of them;0;Netflix;30;No;No
02/10/2018 0:10;Spain;Male;23;A;Partially State-funded School;1;Spotify;150;YouTube;120;No;No
02/10/2018 0:10;Spain;Male;22;A;Partially State-funded School;12;Spotify;60;Netflix;60;Yes;Yes
02/10/2018 0:10;Spain;Male;24;A;Partially State-funded School;14;Spotify;200;None of them;0;No;No
02/10/2018 0:10;Saudi Arabia;Male;23;A;Private;13;Spotify;60;YouTube;360;No;No
02/10/2018 0:22;Spain;Male;22;A;Private;1;Spotify;20;YouTube;180;No;No
02/10/2018 0:28;Spain;Female;21;A;Partially State-funded School;2;Spotify;60;Netflix;60;Yes;No
02/10/2018 0:49;Belgium;Male;22;A;Public School;1;Spotify;300;Netflix;60;Yes;Yes
02/10/2018 1:24;Spain;Female;22;A;Partially State-funded School;4;Spotify;30;Netflix;30;Yes;No
02/10/2018 3:26;United States of America;Female;21;A;Public School;4;Spotify;360;Netflix;30;Yes;Yes
02/10/2018 3:29;United States of America;Female;21;A;Public School;6;Spotify;300;Amazon Prime;15;Yes;Yes
02/10/2018 3:35;United States of America;Female;25;A;Public School;0;Spotify;120;Netflix;60;Yes;Yes
02/10/2018 3:37;United States of America;Male;24;A;Public School;0;Spotify;90;Netflix;120;No;Yes
02/10/2018 3:48;United States of America;Male;25;A;Public School;96;Spotify;90;Netflix;60;Yes;Yes
02/10/2018 4:05;United States of America;Female;23;A;Public School;0;Apple Music;120;None of them;0;No;No
02/10/2018 7:23;Spain;Female;21;A;Private;1;Spotify;60;None of them;0;No;No
02/10/2018 9:15;Spain;Male;22;A;Public School;10;None of them;0;None of them;0;No;No
02/10/2018 9:31;Spain;Male;23;A;Public School;0;Spotify;120;None of them;0;No;No
02/10/2018 10:20;Spain;Female;22;A;Public School;0;Spotify;60;Netflix;50;No;Yes
02/10/2018 10:24;Spain;Male;27;A;Private;6;None of them;0;None of them;0;No;No
02/10/2018 10:49;Russia;Female;21;A;Public School;5;Apple Music;300;None of them;0;No;No
02/10/2018 11:33;Italy;Female;24;A;Public School;5;Spotify;60;Netflix;120;No;No
02/10/2018 11:35;Spain;Male;22;A;Public School;0;Spotify;30;HBO;60;No;Yes
02/10/2018 12:13;Belgium;Male;22;A;Public School;1;Spotify;300;Netflix;60;Yes;Yes
02/10/2018 13:20;Spain;Female;15;A;Partially State-funded School;0;Spotify;120;Netflix;180;Yes;No
02/10/2018 15:17;Spain;Male;22;A;Public School;6;Spotify;120;Netflix;20;No;Yes
02/10/2018 16:18;Colombia;Female;24;A;Private;127;Spotify;180;Netflix;30;Yes;Yes
02/10/2018 16:37;Italy;Male;21;A;Public School;10;Spotify;60;Netflix;60;No;No
02/10/2018 17:58;Spain;Male;27;A;Partially State-funded School;0;Spotify;360;Netflix;60;Yes;No
02/10/2018 18:03;Spain;Female;24;A;Partially State-funded School;5;None of them;0;Netflix;90;No;No
02/10/2018 18:23;Spain;Female;31;A;Partially State-funded School;24;None of them;0;Netflix;10;No;No
02/10/2018 20:24;Denmark;Male;22;A;Public School;16;Spotify;60;Netflix;60;Yes;Yes
